Article,Mean Accuracy@1,Mean Accuracy@5,Mean Accuracy@10
ARTÍCULO 237.,0.0,0.0,0.0
ARTÍCULO 238.,0.0,0.0,0.0
ARTÍCULO 239.,0.5,0.5,0.5
ARTÍCULO 240.,0.5,0.75,0.75
ARTÍCULO 241.,0.5,0.5,0.5
ARTÍCULO 242.,0.5,1.0,1.0
ARTÍCULO 243.,0.5,0.5,1.0
ARTÍCULO 244.,0.3333333333333333,0.6666666666666666,0.6666666666666666
ARTÍCULO 245.,0.0,0.6666666666666666,0.6666666666666666
ARTÍCULO 246.,0.0,0.0,0.0
ARTÍCULO 247.,0.0,0.1,0.4
ARTÍCULO 248.,0.0,0.0,0.0
ARTÍCULO 249.,0.25,0.5,1.0
ARTÍCULO 250.,0.25,0.25,0.5
ARTÍCULO 251.,0.8,1.0,1.0
ARTÍCULO 252.,0.5,0.5,0.5
ARTÍCULO 253.,1.0,1.0,1.0
ARTÍCULO 254.,0.25,0.5,0.5
ARTÍCULO 255.,1.0,1.0,1.0
ARTÍCULO 256.,0.75,1.0,1.0
ARTÍCULO 257.,1.0,1.0,1.0
ARTÍCULO 258.,0.0,0.0,0.0
ARTÍCULO 259.,0.0,0.0,0.0
ARTÍCULO 260.,0.0,0.0,0.0
ARTÍCULO 261.,0.0,0.0,0.5
ARTÍCULO 262.,0.0,0.0,0.0
ARTÍCULO 263,0.0,0.0,0.0
ARTÍCULOS 264 AL 268,0.0,0.0,0.0
ARTÍCULO 269.,0.0,0.0,0.0
ARTÍCULO 270.,0.0,0.5,0.5
ARTÍCULO 271.,0.0,0.3333333333333333,0.3333333333333333
